日期,轮次,上行Token估算,下行Token估算,当日Token估算,累计上行Token估算,累计下行Token估算,累计Token估算
2026-05-20,3,161,2196,2357,161,2196,2357
2026-05-21,2,116,2660,2776,277,4856,5133
2026-05-25,1,1,0,1,278,4856,5134
2026-05-26,4,337,4036,4373,615,8892,9507
2026-05-27,34,2090,25416,27506,2705,34308,37013
2026-06-01,8,415,11953,12368,3120,46261,49381
2026-06-07,106,8940,62039,70979,12060,108300,120360
2026-06-08,4,356,2547,2903,12416,110847,123263
2026-06-09,10,388,10382,10770,12804,121229,134033
2026-06-13,2,190,1191,1381,12994,122420,135414
2026-06-17,3,361,6377,6738,13355,128797,142152
2026-06-18,73,10893,64333,75226,24248,193130,217378
2026-06-19,28,1054,32391,33445,25302,225521,250823
2026-06-21,60,3319,55777,59096,28621,281298,309919
2026-06-22,46,2303,43244,45547,30924,324542,355466
2026-06-23,43,5296,58806,64102,36220,383348,419568
2026-06-24,1,28,1319,1347,36248,384667,420915
2026-06-25,2,119,582,701,36367,385249,421616
2026-06-26,23,2096,24780,26876,38463,410029,448492
2026-06-29,1,40,1493,1533,38503,411522,450025
2026-07-06,3,568,1726,2294,39071,413248,452319
2026-07-09,66,7688,52199,59887,46759,465447,512206
2026-07-10,30,5759,29102,34861,52518,494549,547067
2026-07-11,42,9090,42308,51398,61608,536857,598465
2026-07-12,48,3919,41468,45387,65527,578325,643852
2026-07-13,10,1318,11117,12435,66845,589442,656287
2026-07-14,2,42,911,953,66887,590353,657240
2026-07-15,3,236,4668,4904,67123,595021,662144
2026-07-16,6,193,5643,5836,67316,600664,667980
2026-07-19,28,3473,33701,37174,70789,634365,705154
2026-07-20,12,776,18907,19683,71565,653272,724837
2026-07-21,11,1930,11258,13188,73495,664530,738025
2026-07-22,3,296,1801,2097,73791,666331,740122
2026-07-23,26,4770,38375,43145,78561,704706,783267
2026-07-24,8,1169,8069,9238,79730,712775,792505
2026-07-25,87,13529,64407,77936,93259,777182,870441
2026-07-26,108,16507,78916,95423,109766,856098,965864
2026-07-27,86,10225,84617,94842,119991,940715,1060706
2026-07-28,118,11717,101566,113283,131708,1042281,1173989
2026-07-29,278,38518,261153,299671,170226,1303434,1473660
2026-07-30,1,165,1154,1319,170391,1304588,1474979
2026-07-31,2,247,1773,2020,170638,1306361,1476999
2026-08-01,15,818,12291,13109,171456,1318652,1490108
2026-08-02,2,204,1683,1887,171660,1320335,1491995
2026-08-03,30,2586,28785,31371,174246,1349120,1523366
2026-08-04,21,922,18868,19790,175168,1367988,1543156
2026-08-05,13,1363,12625,13988,176531,1380613,1557144
2026-08-06,15,1638,21800,23438,178169,1402413,1580582
2026-08-07,52,6240,34747,40987,184409,1437160,1621569
2026-08-08,34,3439,18583,22022,187848,1455743,1643591
2026-08-09,5,2085,3792,5877,189933,1459535,1649468
2026-08-10,47,5495,33424,38919,195428,1492959,1688387
2026-08-11,16,4620,10923,15543,200048,1503882,1703930
2026-08-12,53,7162,33963,41125,207210,1537845,1745055
2026-08-13,21,3701,20633,24334,210911,1558478,1769389
2026-08-14,62,13012,35687,48699,223923,1594165,1818088
2026-08-15,1,58,528,586,223981,1594693,1818674
2026-08-17,32,9153,24641,33794,233134,1619334,1852468
2026-08-18,20,5190,14237,19427,238324,1633571,1871895
2026-08-19,3,1239,4343,5582,239563,1637914,1877477
2026-08-20,22,6312,16707,23019,245875,1654621,1900496
2026-08-21,2,154,2421,2575,246029,1657042,1903071
2026-08-23,1,42,445,487,246071,1657487,1903558
2026-08-24,8,1033,7357,8390,247104,1664844,1911948
2026-08-25,50,9576,30783,40359,256680,1695627,1952307
2026-08-26,35,14708,39309,54017,271388,1734936,2006324
2026-08-27,12,4696,13949,18645,276084,1748885,2024969
2026-08-28,47,15775,42305,58080,291859,1791190,2083049
2026-08-29,25,6281,32680,38961,298140,1823870,2122010
2026-08-30,12,1136,19327,20463,299276,1843197,2142473
2026-08-31,36,4772,33262,38034,304048,1876459,2180507
2026-09-01,23,4019,17236,21255,308067,1893695,2201762
2026-09-02,30,8689,36874,45563,316756,1930569,2247325
2026-09-03,77,9906,41330,51236,326662,1971899,2298561
2026-09-04,91,9584,38872,48456,336246,2010771,2347017
2026-09-05,31,4021,17115,21136,340267,2027886,2368153
2026-09-06,32,5885,19596,25481,346152,2047482,2393634
2026-09-07,25,5636,20574,26210,351788,2068056,2419844
2026-09-08,25,6316,11745,18061,358104,2079801,2437905
2026-09-09,8,396,10891,11287,358500,2090692,2449192
2026-09-12,11,3251,12078,15329,361751,2102770,2464521
2026-09-14,81,12464,57577,70041,374215,2160347,2534562
2026-09-15,143,19126,87653,106779,393341,2248000,2641341
2026-09-16,52,8692,39416,48108,402033,2287416,2689449
2026-09-17,81,10797,52607,63404,412830,2340023,2752853
2026-09-18,39,4160,19571,23731,416990,2359594,2776584
